order_id,most_recent_status,most_recent_status_change_time,preceding_event_time,following_event_time,period_of_time,count_polling_events,status_code,count_status_code,error_code,count_error_code
102580281,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_AFTER,,,,,
102580281,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_BEFORE,,,,,
102587548,,,2020-02-26T18:24:53.796+01:00,2020-02-26T18:25:10.643+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102587548,,,2020-02-26T18:24:53.796+01:00,2020-02-26T18:25:10.643+01:00,ONE_HOUR_BEFORE,219,200,219,,219
102587548,,,2020-02-26T18:24:53.796+01:00,2020-02-26T18:25:10.643+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102593394,,,,2020-02-26T18:46:42.184+01:00,ONE_HOUR_BEFORE,,,,,
102593394,,,,2020-02-26T18:46:42.184+01:00,THREE_MINUTES_BEFORE,,,,,
102593394,,,,2020-02-26T18:46:42.184+01:00,THREE_MINUTES_AFTER,3,200,3,,3
102603338,,,2020-02-26T19:11:20.369+01:00,2020-02-26T19:21:29.402+01:00,THREE_MINUTES_BEFORE,2,200,2,,2
102603338,,,2020-02-26T19:11:20.369+01:00,2020-02-26T19:21:29.402+01:00,ONE_HOUR_BEFORE,213,200,213,,213
102603338,,,2020-02-26T19:11:20.369+01:00,2020-02-26T19:21:29.402+01:00,THREE_MINUTES_AFTER,,,,,
102624009,,,2020-02-26T18:16:01.439+01:00,2020-02-26T20:20:45.688+01:00,ONE_HOUR_BEFORE,,,,,
102624009,,,2020-02-26T18:16:01.439+01:00,2020-02-26T20:20:45.688+01:00,THREE_MINUTES_BEFORE,,,,,
102624009,,,2020-02-26T18:16:01.439+01:00,2020-02-26T20:20:45.688+01:00,THREE_MINUTES_AFTER,,,,,
102631370,,,2020-02-26T20:21:45.292+01:00,2020-02-26T20:36:53.008+01:00,ONE_HOUR_BEFORE,19,200,19,,19
102631370,,,2020-02-26T20:21:45.292+01:00,2020-02-26T20:36:53.008+01:00,THREE_MINUTES_BEFORE,,,,,
102631370,,,2020-02-26T20:21:45.292+01:00,2020-02-26T20:36:53.008+01:00,THREE_MINUTES_AFTER,,,,,
102632202,,,2020-02-26T20:25:44.029+01:00,2020-02-26T20:40:34.854+01:00,THREE_MINUTES_BEFORE,,,,,
102632202,,,2020-02-26T20:25:44.029+01:00,2020-02-26T20:40:34.854+01:00,ONE_HOUR_BEFORE,68,200,68,,68
102632202,,,2020-02-26T20:25:44.029+01:00,2020-02-26T20:40:34.854+01:00,THREE_MINUTES_AFTER,,,,,
102638463,,,2020-02-26T19:43:21.080+01:00,2020-02-26T21:25:35.311+01:00,ONE_HOUR_BEFORE,,,,,
102638463,,,2020-02-26T19:43:21.080+01:00,2020-02-26T21:25:35.311+01:00,THREE_MINUTES_BEFORE,,,,,
102638463,,,2020-02-26T19:43:21.080+01:00,2020-02-26T21:25:35.311+01:00,THREE_MINUTES_AFTER,,,,,
102654971,,,2020-02-26T22:33:17.395+01:00,2020-02-26T22:33:32.679+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102654971,,,2020-02-26T22:33:17.395+01:00,2020-02-26T22:33:32.679+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102654971,,,2020-02-26T22:33:17.395+01:00,2020-02-26T22:33:32.679+01:00,ONE_HOUR_BEFORE,230,200,230,,230
102509881,,,2020-02-26T12:21:00.529+01:00,2020-02-26T12:21:16.121+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102509881,,,2020-02-26T12:21:00.529+01:00,2020-02-26T12:21:16.121+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102509881,,,2020-02-26T12:21:00.529+01:00,2020-02-26T12:21:16.121+01:00,ONE_HOUR_BEFORE,229,200,229,,229
102548150,,,2020-02-26T15:38:07.572+01:00,2020-02-26T15:41:25.575+01:00,THREE_MINUTES_BEFORE,6,200,6,,6
102548150,,,2020-02-26T15:38:07.572+01:00,2020-02-26T15:41:25.575+01:00,ONE_HOUR_BEFORE,73,0,1,ECONNABORTED,1
102548150,,,2020-02-26T15:38:07.572+01:00,2020-02-26T15:41:25.575+01:00,ONE_HOUR_BEFORE,73,200,72,,72
102548150,,,2020-02-26T15:38:07.572+01:00,2020-02-26T15:41:25.575+01:00,THREE_MINUTES_AFTER,1,200,1,,1
102570019,,,2020-02-26T15:02:58.013+01:00,2020-02-26T17:41:57.358+01:00,ONE_HOUR_BEFORE,,,,,
102570019,,,2020-02-26T15:02:58.013+01:00,2020-02-26T17:41:57.358+01:00,THREE_MINUTES_AFTER,,,,,
102570019,,,2020-02-26T15:02:58.013+01:00,2020-02-26T17:41:57.358+01:00,THREE_MINUTES_BEFORE,,,,,
102588799,,,2020-02-26T18:28:52.498+01:00,2020-02-26T18:29:07.834+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102588799,,,2020-02-26T18:28:52.498+01:00,2020-02-26T18:29:07.834+01:00,ONE_HOUR_BEFORE,130,200,129,,129
102588799,,,2020-02-26T18:28:52.498+01:00,2020-02-26T18:29:07.834+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102588799,,,2020-02-26T18:28:52.498+01:00,2020-02-26T18:29:07.834+01:00,ONE_HOUR_BEFORE,130,0,1,ECONNABORTED,1
102632000,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T20:37:23.222+01:00,2020-02-26T20:37:40.418+01:00,THREE_MINUTES_AFTER,9,200,9,,9
102632000,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T20:37:23.222+01:00,2020-02-26T20:37:40.418+01:00,THREE_MINUTES_BEFORE,10,200,10,,10
102632000,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T20:37:23.222+01:00,2020-02-26T20:37:40.418+01:00,ONE_HOUR_BEFORE,202,0,5,ECONNABORTED,5
102632000,ONLINE,2020-02-26T13:00:33.317+01:00,2020-02-26T20:37:23.222+01:00,2020-02-26T20:37:40.418+01:00,ONE_HOUR_BEFORE,202,200,197,,197
102645333,,,2020-02-26T16:27:45.680+01:00,,ONE_HOUR_BEFORE,,,,,
102645333,,,2020-02-26T16:27:45.680+01:00,,THREE_MINUTES_BEFORE,,,,,
102645333,,,2020-02-26T16:27:45.680+01:00,,THREE_MINUTES_AFTER,,,,,
102650016,,,2020-02-26T21:54:52.739+01:00,2020-02-26T21:55:08.748+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102650016,,,2020-02-26T21:54:52.739+01:00,2020-02-26T21:55:08.748+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102650016,,,2020-02-26T21:54:52.739+01:00,2020-02-26T21:55:08.748+01:00,ONE_HOUR_BEFORE,224,200,224,,224
102501936,ONLINE,2020-02-26T11:07:28.274+01:00,2020-02-26T11:38:31.085+01:00,2020-02-26T11:38:46.933+01:00,ONE_HOUR_BEFORE,170,0,2,ECONNABORTED,1
102501936,ONLINE,2020-02-26T11:07:28.274+01:00,2020-02-26T11:38:31.085+01:00,2020-02-26T11:38:46.933+01:00,ONE_HOUR_BEFORE,170,200,168,,168
102501936,ONLINE,2020-02-26T11:07:28.274+01:00,2020-02-26T11:38:31.085+01:00,2020-02-26T11:38:46.933+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102501936,ONLINE,2020-02-26T11:07:28.274+01:00,2020-02-26T11:38:31.085+01:00,2020-02-26T11:38:46.933+01:00,ONE_HOUR_BEFORE,170,0,2,GENERIC_ERROR,1
102501936,ONLINE,2020-02-26T11:07:28.274+01:00,2020-02-26T11:38:31.085+01:00,2020-02-26T11:38:46.933+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102504038,,,2020-02-26T11:57:39.587+01:00,2020-02-26T11:57:56.989+01:00,THREE_MINUTES_BEFORE,10,200,10,,10
102504038,,,2020-02-26T11:57:39.587+01:00,2020-02-26T11:57:56.989+01:00,ONE_HOUR_BEFORE,211,0,1,ECONNABORTED,1
102504038,,,2020-02-26T11:57:39.587+01:00,2020-02-26T11:57:56.989+01:00,ONE_HOUR_BEFORE,211,200,210,,210
102504038,,,2020-02-26T11:57:39.587+01:00,2020-02-26T11:57:56.989+01:00,THREE_MINUTES_AFTER,10,200,10,,10
102509472,,,2020-02-26T12:19:11.472+01:00,2020-02-26T12:19:27.051+01:00,ONE_HOUR_BEFORE,229,200,229,,229
102509472,,,2020-02-26T12:19:11.472+01:00,2020-02-26T12:19:27.051+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102509472,,,2020-02-26T12:19:11.472+01:00,2020-02-26T12:19:27.051+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102512282,,,2020-02-26T12:33:02.157+01:00,2020-02-26T12:33:32.398+01:00,ONE_HOUR_BEFORE,193,200,193,,193
102512282,,,2020-02-26T12:33:02.157+01:00,2020-02-26T12:33:32.398+01:00,THREE_MINUTES_AFTER,8,200,8,,8
102512282,,,2020-02-26T12:33:02.157+01:00,2020-02-26T12:33:32.398+01:00,THREE_MINUTES_BEFORE,5,200,5,,5
102520552,,,2020-02-26T13:14:30.945+01:00,2020-02-26T13:14:47.264+01:00,THREE_MINUTES_BEFORE,10,200,10,,10
102520552,,,2020-02-26T13:14:30.945+01:00,2020-02-26T13:14:47.264+01:00,ONE_HOUR_BEFORE,230,200,230,,230
102520552,,,2020-02-26T13:14:30.945+01:00,2020-02-26T13:14:47.264+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102558039,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_BEFORE,,,,,
102558039,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,ONE_HOUR_BEFORE,,,,,
102558039,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_AFTER,,,,,
102562065,,,2020-02-26T16:47:03.969+01:00,2020-02-26T16:47:19.442+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102562065,,,2020-02-26T16:47:03.969+01:00,2020-02-26T16:47:19.442+01:00,ONE_HOUR_BEFORE,66,200,66,,66
102562065,,,2020-02-26T16:47:03.969+01:00,2020-02-26T16:47:19.442+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102572652,,,2020-02-26T17:32:15.736+01:00,2020-02-26T17:35:23.990+01:00,THREE_MINUTES_BEFORE,5,200,5,,5
102572652,,,2020-02-26T17:32:15.736+01:00,2020-02-26T17:35:23.990+01:00,THREE_MINUTES_AFTER,,,,,
102572652,,,2020-02-26T17:32:15.736+01:00,2020-02-26T17:35:23.990+01:00,ONE_HOUR_BEFORE,69,200,69,,69
102588340,,,2020-02-26T18:27:32.919+01:00,2020-02-26T18:27:48.203+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102588340,,,2020-02-26T18:27:32.919+01:00,2020-02-26T18:27:48.203+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
